,RandomForest,XGBoost,mean
n_mutaciones,0.1381089376524637,0.12614377,0.13212635304110992
fumador,0.1094528332390198,0.13791242,0.12368262782880708
obesidad,0.06534086292010714,0.104017615,0.08467923911920275
mut_BRCA1,0.04907298236690207,0.061702624,0.05538780316512905
mut_TP53,0.03757253414682031,0.047323085,0.04244780975724995
glucosa,0.06765659726821362,0.01707673,0.042366663998181515
tipo_seguro_Privado,0.035441409304222196,0.049110238,0.04227582340661721
tipo_seguro_Publico,0.029267868863534482,0.039390545,0.03432920710096337
actividad_fisica,0.03081699197369978,0.03154683,0.03118191155234061
mut_KRAS,0.02453402614030094,0.03293412,0.0287340739639245
leucocitos,0.04404771856812885,0.013384314,0.028716016411027563
trigliceridos,0.039727658246601086,0.012655711,0.026191684524041643
colesterol,0.03964766393033867,0.0122625595,0.025955111713102483
hemoglobina,0.03914528628685345,0.012705,0.0259251432021373
edad,0.034886299921909024,0.013181162,0.02403373099433335
plaquetas,0.03507250121436617,0.012529944,0.02380122264202486
n_comorbilidades,0.029202242415361186,0.017426534,0.023314388019945512
distancia_hospital_km,0.03370184845812433,0.012304687,0.023003267699665392
creatinina,0.03211492135435948,0.012217272,0.022166096713694974
hipertension,0.011555684290075722,0.026337562,0.018946623209488603
mut_ALK,0.003973632796756783,0.030015964,0.016994798428889294
num_hijos,0.01100647272807731,0.011283858,0.011145165237994858
nivel_ingresos,0.00970794154408413,0.011407165,0.010557553200437813
nivel_educativo,0.009140610584981548,0.010701792,0.009921201449815089
mut_EGFR,0.0063805482597947254,0.012134328,0.009257437906503685
zona_Urbana,0.00551380590895754,0.011575635,0.008544720250119478
diabetes,0.00526284011881629,0.0113397585,0.00830129932081242
mut_PIK3CA,0.0034275008907804416,0.012421022,0.007924261530036208
zona_Semiurbana,0.0034877753071345,0.012106874,0.007797324666746314
enfermedad_cardiaca,0.002573715033041301,0.0128687,0.007721207325362594
mut_BRAF,0.0023575539542436625,0.0129433395,0.007650446744173766
estado_civil_Soltero,0.0036633295072681354,0.011189316,0.007426322953331801
estado_civil_Divorciado,0.0025955082168350897,0.011886847,0.007241177711147581
epoc,0.001640702271710117,0.012535738,0.007088220049565176
estado_civil_Viudo,0.0018010362008925597,0.011912544,0.006856790229415711
asma,0.001100158115223782,0.011514434,0.006307295887418457
